Fechas;sarima;auto_arima;uc;ets;ll_trend;exper_seas_naive;struc_ss
2023-10-01;526.9580611958708;527.6950626964605;527.3979438043284;527.0648356452886;527.0726612876055;505.11782069765627;527.3982093869391
2023-11-01;528.7308378125646;530.3484355855711;530.0924029293758;529.9078423218596;529.8172148180761;508.2233718156289;530.0927091049113
2023-12-01;530.3240553772135;532.9798184622059;532.4159705052222;532.1928228153581;532.5617683485467;510.4772390683137;532.416386825356
2024-01-01;533.0595133292027;535.610691978016;535.3908367103031;534.9821089954135;535.3063218790173;517.8639724600409;535.3914533637925
2024-02-01;535.7006045466575;538.993028539512;538.658162585642;538.3475680415688;538.050875409488;518.8656905822985;538.6588385075077
2024-03-01;538.1715922785936;541.9597291824;541.6301934063697;541.1704727889057;540.7954289399586;522.0159525890181;541.6310494143186
2024-04-01;539.9711831451855;544.6420635122354;544.4564086308995;543.9772758361242;543.5399824704292;524.2859211398865;544.4573667576863
2024-05-01;541.5046391650708;547.1411666183442;547.0690324217466;546.5478051266929;546.2845360008998;526.6540866744227;547.070126630113
2024-06-01;543.0494174894642;549.9408667987162;549.8989397585685;549.3078951930079;549.0290895313705;528.0780805661033;549.9001497479219
2024-07-01;544.5952036155543;552.4005236143327;552.4852226825687;551.9684151676913;551.7736430618411;531.0270058173437;552.4865089670814
2024-08-01;547.6128238514766;555.3395338725825;555.8258522061127;555.0480742423131;554.5181965923117;537.9678806998836;555.8273622404039
2024-09-01;548.9201579899415;558.0246955523517;557.8757002604408;557.3053638676911;557.2627501227823;539.5631272035408;557.8772289146892
