Fechas;Serie;Indice;Variable
2024-09-01;ets;557.6007801519389;Salud
2024-10-01;ets;560.3840358090378;Salud
2023-11-01;ll_trend;529.9565520650318;Salud
2023-12-01;ll_trend;532.7162325746601;Salud
2024-01-01;ll_trend;535.4759130842884;Salud
2024-02-01;ll_trend;538.2355935939167;Salud
2024-03-01;ll_trend;540.9952741035451;Salud
2024-04-01;ll_trend;543.7549546131734;Salud
2024-05-01;ll_trend;546.5146351228017;Salud
2024-06-01;ll_trend;549.27431563243;Salud
2024-07-01;ll_trend;552.0339961420583;Salud
2024-08-01;ll_trend;554.7936766516866;Salud
2024-09-01;ll_trend;557.5533571613149;Salud
2024-10-01;ll_trend;560.3130376709432;Salud
2023-11-01;exper_seas_naive;508.18811633856484;Salud
2023-12-01;exper_seas_naive;510.5735612300456;Salud
2024-01-01;exper_seas_naive;517.9458451398817;Salud
2024-02-01;exper_seas_naive;519.051958483457;Salud
2024-03-01;exper_seas_naive;522.0968881357578;Salud
2024-04-01;exper_seas_naive;524.571631799096;Salud
2024-05-01;exper_seas_naive;526.782300143046;Salud
2024-06-01;exper_seas_naive;528.0221883509798;Salud
2024-07-01;exper_seas_naive;531.1083707421249;Salud
2024-08-01;exper_seas_naive;538.0477138618947;Salud
2024-09-01;exper_seas_naive;539.605828308877;Salud
2024-10-01;exper_seas_naive;542.7490421262105;Salud
2023-11-01;struc_ss;529.8788754607074;Salud
2023-12-01;struc_ss;532.1789202194649;Salud
2024-01-01;struc_ss;535.1268004781061;Salud
2024-02-01;struc_ss;538.3735436282092;Salud
2024-03-01;struc_ss;541.3196364931275;Salud
2024-04-01;struc_ss;544.1234585852696;Salud
2024-05-01;struc_ss;546.7121936918818;Salud
2024-06-01;struc_ss;549.5190652983299;Salud
2024-07-01;struc_ss;552.0841127825744;Salud
2024-08-01;struc_ss;555.3966255554702;Salud
2024-09-01;struc_ss;557.4310652681444;Salud
2024-10-01;struc_ss;560.4861742714764;Salud
2023-11-01;sarima;439.81920788449906;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2023-12-01;sarima;440.63057046521664;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-01-01;sarima;443.3337470390817;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-02-01;sarima;442.8217776801634;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-03-01;sarima;444.14939838008166;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-04-01;sarima;445.7543352843114;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-05-01;sarima;446.4192527920215;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-06-01;sarima;447.70262854141185;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-07-01;sarima;448.6402209959741;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-08-01;sarima;449.7594939259187;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-09-01;sarima;451.129831964862;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-10-01;sarima;452.50578264727835;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2023-11-01;auto_arima;440.0713889912373;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2023-12-01;auto_arima;441.2032818212265;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-01-01;auto_arima;442.3442764420719;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-02-01;auto_arima;443.4831735781447;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-03-01;auto_arima;444.6225540742992;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-04-01;auto_arima;445.7618231813406;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-05-01;auto_arima;446.9011179577225;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-06-01;auto_arima;448.0404068186695;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-07-01;auto_arima;449.1796970428136;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-08-01;auto_arima;450.31898695281234;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-09-01;auto_arima;451.4582769352051;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-10-01;auto_arima;452.59756690091484;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2023-11-01;uc;439.74403085305505;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2023-12-01;uc;440.178836630153;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-01-01;uc;442.948992803867;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-02-01;uc;442.3649177277217;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-03-01;uc;443.9933724377305;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-04-01;uc;445.6245882904165;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-05-01;uc;446.2826838340275;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-06-01;uc;447.64822799381096;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-07-01;uc;448.61826522766;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-08-01;uc;449.7739427911124;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-09-01;uc;451.1412278483261;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-10-01;uc;452.440855446915;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2023-11-01;ets;439.72168402687834;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2023-12-01;ets;440.55446424727836;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-01-01;ets;442.28405508150956;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-02-01;ets;442.8255637872273;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-03-01;ets;443.99862786705324;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-04-01;ets;445.5145894163746;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-05-01;ets;446.44865957268445;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-06-01;ets;447.5857867954848;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-07-01;ets;448.6482570174734;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-08-01;ets;449.84478770527335;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-09-01;ets;451.14517468004607;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-10-01;ets;452.4538724930589;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2023-11-01;ll_trend;439.97857214082626;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2023-12-01;ll_trend;441.1149273358493;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-01-01;ll_trend;442.25128253087234;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-02-01;ll_trend;443.3876377258954;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-03-01;ll_trend;444.52399292091843;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-04-01;ll_trend;445.6603481159415;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-05-01;ll_trend;446.7967033109645;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-06-01;ll_trend;447.93305850598756;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-07-01;ll_trend;449.0694137010106;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-08-01;ll_trend;450.20576889603365;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-09-01;ll_trend;451.3421240910567;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-10-01;ll_trend;452.47847928607973;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2023-11-01;exper_seas_naive;441.72295435033476;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2023-12-01;exper_seas_naive;441.58738834768207;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-01-01;exper_seas_naive;440.3415702532062;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-02-01;exper_seas_naive;442.18477125527113;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-03-01;exper_seas_naive;443.1180604493648;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-04-01;exper_seas_naive;442.47131792987454;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-05-01;exper_seas_naive;443.6165210637646;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-06-01;exper_seas_naive;445.91411334566055;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-07-01;exper_seas_naive;445.85261532151253;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-08-01;exper_seas_naive;447.8536830910729;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-09-01;exper_seas_naive;450.547433406548;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-10-01;exper_seas_naive;451.61147759024726;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2023-11-01;struc_ss;439.74403005737895;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2023-12-01;struc_ss;440.1788255167078;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-01-01;struc_ss;442.94901186142874;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-02-01;struc_ss;442.36490429682567;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-03-01;struc_ss;443.99336948668974;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-04-01;struc_ss;445.62458938951505;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-05-01;struc_ss;446.28267849370764;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-06-01;struc_ss;447.6482276264173;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-07-01;struc_ss;448.61826285014894;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-08-01;struc_ss;449.77393786151964;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-09-01;struc_ss;451.1412257140468;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2024-10-01;struc_ss;452.44085152057903;Alojamiento, Agua, Electricidad, Gas y Otros Combustibles
2023-11-01;sarima;465.78689707093565;Restaurantes y Hoteles
2023-12-01;sarima;467.6815340092366;Restaurantes y Hoteles
2024-01-01;sarima;470.156359548045;Restaurantes y Hoteles
