Fechas;sarima;auto_arima;uc;ets;ll_trend;exper_seas_naive;struc_ss
2023-10-01;464.8370051601564;465.56572360508846;464.63470860626285;464.4764365027165;465.270561935886;462.06038799517563;464.6347049278691
2023-11-01;464.92356622829857;466.122880515891;464.87717409147075;464.5626949014736;466.541123871772;468.9494948872339;464.8771667551309
2023-12-01;465.06806955443557;466.32114272656867;465.1757042586321;464.7079464548474;467.811685807658;465.21411204728054;465.1756932849605
2024-01-01;465.6363244059513;466.39169359549027;465.900787988704;465.28060119913465;469.08224774354403;461.24796996396714;465.90077339811745
2024-02-01;467.1698964929848;466.4167988593153;467.5989203239828;466.82653701064464;470.35280967943004;465.055770880661;467.5989020073809
2024-03-01;468.6244304944748;466.4257324739023;469.2101136771269;468.28504223769534;471.62337161531605;461.8468265286775;469.2100916543719
2024-04-01;471.93261619202417;466.4289114673654;472.6655368381841;471.58419129604323;472.89393355120205;465.32807435517117;472.665511129276
2024-05-01;473.40221148144406;466.43004270034396;474.29073409098874;473.0476108376589;474.16449548708806;463.8767295376937;474.2907047156389
2024-06-01;474.6341855465192;466.43044524538425;475.6736597282659;474.27337078416093;475.43505742297407;461.56637077375825;475.67362670649106
2024-07-01;475.59911915181283;466.4305884895369;476.79091360564786;475.22982123156476;476.7056193588601;463.54777096302195;476.79087695729044
2024-08-01;476.86782111727615;466.4306394624349;478.2143977220984;476.49489352041115;477.9761812947461;473.15786518181505;478.21435746701815
2024-09-01;477.84468282228204;466.4306576009507;479.34299471615907;477.4650231783227;479.2467432306321;477.717695127704;479.3429508742532
