Fechas;sarima;auto_arima;uc;ets;ll_trend;exper_seas_naive;struc_ss
2023-10-01;77.59812967728875;77.47621215379792;77.4581660042258;77.30950456024348;77.52875243829577;78.63292295586744;77.44383077178881
2023-11-01;77.63613472930608;77.45576963560842;77.39753847746825;77.23766482492421;77.54147843586122;78.53487873478066;77.35564787823843
2023-12-01;77.66268429705;77.42713602282589;77.3162599974374;77.3391751435558;77.55420443342668;78.68925782895316;77.2385944166207
2024-01-01;77.64737332921862;77.3969649144947;77.27498859667406;77.43674930965618;77.56693043099213;78.6956530499105;77.15251187253432
2024-02-01;77.72589308627242;77.36117000437407;77.45539486318786;77.42064839260208;77.57965642855758;78.76160164784412;77.26103234417282
2024-03-01;77.76395192608904;77.33979697951357;77.70671815948486;77.27138833896197;77.59238242612304;78.7006980596654;77.42292143139322
2024-04-01;77.8480369508423;77.34252353250531;78.02276665999506;77.22281555913526;77.60510842368849;78.56243065709248;77.64423145992815
2024-05-01;77.9153703253776;77.34855296775113;78.290011885679;77.35996256737471;77.61783442125395;78.50819344724502;77.82324060604297
2024-06-01;78.00718793251937;77.37166456096406;78.43234428950753;77.65923257274925;77.6305604188194;78.63075620044154;77.88474613067935
2024-07-01;77.96580606480347;77.37922752191182;78.3871232980308;77.9501272177834;77.64328641638485;78.5175032681894;77.77408008726185
2024-08-01;77.85609128831511;77.38544148137149;78.25535493180082;78.03251124906326;77.65601241395031;78.6386661597415;77.59484423917658
2024-09-01;77.94027392999885;77.40004339468253;78.28342456245777;77.95018882483642;77.66873841151576;78.64299240650632;77.58324924448365
