Fechas;sarima;auto_arima;uc;ets;ll_trend;exper_seas_naive;struc_ss
2023-10-01;381.99542045335176;382.0621151748784;382.1826500129159;382.14506380279136;382.1818427838754;376.1184073518355;382.18267095782966
2023-11-01;383.19580101402147;383.45358656932984;383.6604479771195;383.6739086026242;383.66368534489425;377.1382269614488;383.66049423548577
2023-12-01;384.49649026709585;384.9037435296539;385.09959778820803;385.21932892724453;385.14552790591307;378.42924327580243;385.0996646859581
2024-01-01;386.5906112464161;386.50406182491184;387.3068108094521;387.1793050400909;386.6273704669319;380.9537838108018;387.306880273939
2024-02-01;387.477156118364;387.9320715500207;388.50575724087435;388.6070164196777;388.1092130279507;381.99898790984565;388.50586194405224
2024-03-01;388.8449981893788;389.3980386433547;390.0691627836138;390.08483806957554;389.59105558896954;383.61862602937435;390.0692784048971
2024-04-01;389.79286625290507;390.8256963950965;391.3917450846653;391.39930593340875;391.07289814998836;384.9675746670569;391.39187966162535
2024-05-01;390.6340643854726;392.1910027664749;392.7690614833186;392.8313571419354;392.5547407110072;385.736604957794;392.76922138872425
2024-06-01;391.6393476928916;393.64198024898735;394.13223869352663;394.2318913800629;394.036583272026;387.2734873133056;394.1324203315281
2024-07-01;393.0364369250137;395.21642651324277;395.63211162648406;395.6866878969904;395.51842583304483;389.28859429133746;395.6323054676418
2024-08-01;394.51032993789266;396.61978031793484;397.16949767431436;397.21910810176036;397.00026839406365;390.3017271048992;397.1697119740077
2024-09-01;395.8535292457616;398.0460235972209;398.55571779264426;398.64207995161814;398.4821109550825;391.5059736524646;398.55594726199627
