Fechas;sarima;auto_arima;uc;ets;ll_trend;exper_seas_naive;struc_ss
2023-10-01;396.51992696729224;396.77485926720357;396.93821822726755;396.75362252316415;396.88900233040545;383.06821178225874;396.9381899334362
2023-11-01;397.5920956153864;398.31529493613573;398.1244164659226;398.0675881241746;398.4780003625456;385.32782912868913;398.12433739324484
2023-12-01;398.691583360224;400.0086132013171;399.2686655677543;399.2995002586486;400.0669983946857;387.3527908553516;399.2685496306239
2024-01-01;400.7042167814258;402.4512531765954;401.2733074340011;401.1312566603488;401.6559964268258;389.431154163617;401.273157438996
2024-02-01;402.21876559289655;404.44024066573274;402.83768871964105;402.8692533641983;403.24499445896595;391.8523659932859;402.83749397559916
2024-03-01;403.5803871940069;406.31859654256766;404.1840875956109;404.3577938375662;404.8339924911061;394.2764287934219;404.1838395870785
2024-04-01;405.70306853626636;408.4915853860201;406.2088212754064;406.13729612077435;406.4229905232462;399.25634173386254;406.2085555223043
2024-05-01;406.8966425117773;410.2951237992873;407.3976272506189;407.53169607351623;408.0119885553863;401.0303015173993;407.39730175680035
2024-06-01;408.25604993584966;412.1869986718395;408.6974188035764;409.00656007165503;409.60098658752645;403.28727701466175;408.6970477130185
2024-07-01;410.41268887693565;414.7603383511106;410.68797324106254;410.7364838230682;411.1899846196666;405.0730052260136;410.6875823206264
2024-08-01;411.710797683629;416.7432596425496;412.04491378831557;412.1420881474536;412.7789826518067;406.08290522126197;412.04448213057316
2024-09-01;412.6361024478372;418.530835948317;413.2098256198985;413.58998116950085;414.3679806839468;406.46366369089486;413.209335032416
