Fechas;sarima;auto_arima;uc;ets;ll_trend;exper_seas_naive;struc_ss
2023-10-01;804.1;804.1;806.407726755242;804.1014804823473;807.4776675045323;768.16565073551;806.4077769508757
2023-11-01;804.1;804.1;807.2780004469339;804.1031762366565;810.5503395534505;767.9530451306065;807.2781139456753
2023-12-01;804.1000038279719;804.1308315867078;806.5572017320329;804.1397753802559;813.6230116023687;768.0508410045977;806.5573798843334
2024-01-01;804.1000038279807;804.1308316981866;801.5319811912199;804.1542373884146;816.6956836512869;768.4323962984606;801.5322000821047
2024-02-01;853.968391695744;844.8786525124525;848.5948024536509;827.9298778638747;819.7683557002051;828.2806878058586;848.5948041521497
2024-03-01;853.968391695744;844.8786525124526;843.5597408785859;827.9179791732485;822.8410277491233;828.1417959012301;843.5597832597226
2024-04-01;853.968391695744;844.8786525124525;842.8186938414872;827.9199048300782;825.9136997980415;828.2366629837888;842.8188011699904
2024-05-01;853.9692098273619;844.8672554845523;843.7339098435539;827.9197619459807;828.9863718469597;828.1426785760527;843.7340783628915
2024-06-01;853.968391695744;844.8786525124525;845.4228513702109;827.9213481356744;832.059043895878;828.2527334989827;845.423078241077
2024-07-01;853.968391695744;844.8786525124525;847.4823686065347;827.9209342440819;835.1317159447962;828.3786089420895;847.4826495939384
2024-08-01;853.968391695744;844.8786525124525;849.6005101660166;827.9229980268669;838.2043879937144;828.1919643069573;849.6008444319059
2024-09-01;853.968391695744;844.8786525124525;851.2619282046819;827.9228918616319;841.2770600426326;828.1012744190111;851.2623148652121
