Fechas;sarima;auto_arima;uc;ets;ll_trend;exper_seas_naive;struc_ss
2023-10-01;306.10548716528535;306.4534540250992;306.63174839231664;306.63108944444593;306.4477032761981;298.5242762470336;306.63174416865945
2023-11-01;306.77332577668506;307.95758625830103;308.0899524294587;308.0894031015385;307.9954067590132;299.16609779225206;308.08994400347717
2023-12-01;307.2706376893205;309.4546988192738;309.2465767730069;309.24570042082206;309.54311024182823;300.61382852325124;309.2465641668463
2024-01-01;308.4044835622336;310.9508123127693;310.97897436994555;310.97526927935417;311.0908137246433;301.8644220132152;310.97895760558856
2024-02-01;310.00267841758784;312.44678361503543;312.96024303596926;312.954138079169;312.63851720745834;304.71412628020255;312.96022200402814
2024-03-01;311.0586345785405;313.9427346800842;314.449041866663;314.43988590719243;314.1862206902734;306.0614504634075;314.4490165885264
2024-04-01;311.76101663625053;315.43868286489226;315.84263190380796;315.83070817930525;315.73392417308844;307.12885403147015;315.84260240082466
2024-05-01;312.4197820230564;316.93463063977305;317.28170683115;317.2677572866083;317.2816276559035;308.2676306635887;317.28167312476796
2024-06-01;312.8707782743632;318.4305783563114;318.5699835982949;318.5523619636024;318.82933113871854;308.651229407438;318.569945709947
2024-07-01;314.04972164662155;319.92652606454624;320.51521258181776;320.4946273846975;320.3770346215336;311.4490415361194;320.51517053277814
2024-08-01;314.8943103903406;321.42247377159924;321.8819631751794;321.85964861070653;321.92473810434865;311.85474385526425;321.8819169871221
2024-09-01;315.9297882132571;322.91842147848405;323.5253152466709;323.5024688343017;323.4724415871637;313.54004659415085;323.52526494077773
