Fechas;sarima;auto_arima;uc;ets;ll_trend;exper_seas_naive;struc_ss
2023-10-01;462.9702697146457;464.18218583094983;463.88757365120875;463.98024556053696;464.3894253901981;442.60959330992625;463.88756538564013
2023-11-01;464.56982908181305;467.06108396386657;466.60816157889883;466.80301363085675;467.1788517665339;446.08079784783666;466.608156206884
2023-12-01;466.463082146357;470.05673823289794;469.23544498907495;469.43125161260565;469.96827814286974;451.30301771319097;469.235476159457
2024-01-01;468.93620816124644;473.3462302181042;472.3672399984711;472.3077845117607;472.75770451920556;457.07684728261773;472.3673650731412
2024-02-01;471.0192633866931;476.5034057120014;475.46684434358946;475.697681998124;475.5471308955414;459.90695269409997;475.4669492639279
2024-03-01;472.58907197975685;479.40537313261933;478.3012616258539;478.42461381773137;478.3365572718772;461.34230095737905;478.3013842559519
2024-04-01;474.10742311562433;482.2550499551366;481.18078626640585;481.1253375934499;481.12598364821304;462.242319484054;481.1809865282091
2024-05-01;475.0463223057757;484.83399247122827;483.40984673301176;483.90050350443187;483.91541002454886;463.14112330582964;483.4099296781973
2024-06-01;477.6048456844793;488.1798414449932;486.8662383268733;486.8807857930928;486.7048364008847;465.13601488624363;486.86648178493346
2024-07-01;479.1874565581206;491.0236765599666;489.38203621494523;489.32561512385223;489.4942627772205;468.201661126828;489.38232769171805
2024-08-01;480.82945195887464;493.95061850951646;492.1990200410711;492.59212244818406;492.28368915355634;471.2934203212801;492.1992248457575
2024-09-01;482.5893572359897;496.88664618784406;495.05941258770366;495.1102706337974;495.07311552989216;474.9454804052722;495.0597240800305
