Fechas;sarima;auto_arima;uc;ets;ll_trend;exper_seas_naive;struc_ss
2023-10-01;422.62794228494033;423.052492336772;422.7067801554901;422.7100908634757;422.79314513451106;411.284452893793;422.7067731584373
2023-11-01;424.23632062189074;425.1468355331216;424.72929216993936;424.7352610307309;424.6862909313887;415.2261072992232;424.7291756905247
2023-12-01;425.49593731941184;427.26071317009877;426.4029562333495;426.4110410077099;426.5794367282664;416.69479840347714;426.4027970449975
2024-01-01;426.94902693508084;429.55862793679336;428.38231286038183;428.39210495124195;428.47258252514405;418.4561389809939;428.38201809868985
2024-02-01;429.042039912263;432.1157753387957;431.02925886511173;431.0395278966665;430.3657283220217;423.1099127404956;431.0289391987785
2024-03-01;430.4562173311009;434.5463855548281;433.0100296955592;433.02339528467974;432.25887411889937;424.15039978103283;433.009445631101
2024-04-01;432.31480900411685;437.3178576633105;435.26755209864046;435.28069322165857;434.15201991577703;424.83443272007366;435.26740230038405
2024-05-01;433.14680479960356;439.3887180930171;437.0835725842267;437.0987220607155;436.0451657126547;425.29927446387427;437.08266046246274
2024-06-01;434.76356982822534;441.84031775612857;439.164949409997;439.1791857617333;437.93831150953235;426.80021639055803;439.16436528423867
2024-07-01;436.41036264693645;444.35613320636975;441.4046598219407;441.41900354705797;439.83145730641;428.83620836336723;441.4040609640655
2024-08-01;437.30833131932906;446.2562961316307;443.17635767502645;443.1936142485332;441.7246031032877;430.7160260983118;443.17546206018693
2024-09-01;438.1138924229902;447.9658310961262;444.6376826183219;444.65772148123614;443.61774890016534;433.0441388854649;444.63675059556243
