Fechas;sarima;auto_arima;uc;ets;ll_trend;exper_seas_naive;struc_ss
2023-10-01;468.9854431635091;468.53578396365407;468.40510362027146;468.4031561639896;468.25516622509423;461.8528734743268;468.4051034297989
2023-11-01;470.7211427332254;470.13187151924114;469.9753028138621;469.9715228871096;469.8103333783453;463.5433306647271;469.9753024336744
2023-12-01;472.0857584541785;471.90270031314583;471.2668572504463;471.2618328576872;471.3655005315964;464.78656752899326;471.2668566817076
2024-01-01;474.11423349470533;473.6162189877717;472.7983726302413;472.79238437684734;472.9206676848475;467.3442809297804;472.79837187263007
2024-02-01;477.29344839387306;474.4932230508035;474.8375694605648;474.8297955402997;474.4758348380986;470.12224411752373;474.83756851446554
2024-03-01;479.64599011140524;475.8713194090143;476.723755437427;476.7141400610936;476.0310019913497;471.71448025824344;476.7237543040217
2024-04-01;481.63307454565825;477.398621094813;478.33584018304214;478.3245912809368;477.5861691446008;472.90051975628717;478.33583886231776
2024-05-01;483.061071770536;479.01303271279517;479.81665697662714;479.8037414723477;479.14133629785186;473.48138246206304;479.8166554694759
2024-06-01;484.6605656512262;480.79066300013403;481.3434799732492;481.3293609957239;480.69650345110296;475.34018258179555;481.34347827968105
2024-07-01;486.21152329860223;482.59546422422534;482.93600125961285;482.9207964933175;482.25167060435405;476.8944272079205;482.93599938049005
2024-08-01;487.8311968836025;484.5133909557736;484.3812467587118;484.36512829523286;483.80683775760514;477.89386146771983;484.3812446943302
2024-09-01;489.7756314110258;486.24563267340784;485.9255890232819;485.9082759916862;485.36200491085623;479.93453570080186;485.92558677387626
