Fechas;sarima;auto_arima;uc;ets;ll_trend;exper_seas_naive;struc_ss
2023-10-01;439.02348688290607;438.64904437386804;438.9040891349381;438.87033889718447;438.62985434480765;440.15594873469973;438.9040646357176
2023-11-01;439.9222893685386;439.8715259278054;439.7474002764858;439.6992254444278;439.7596672196154;441.81017464595595;439.74737375138574
2023-12-01;440.7336226083833;440.98472049346367;440.1814983809346;440.52956585835284;440.8894800944231;441.7165275348609;440.18148509621966
2024-01-01;443.44102373268186;442.1231425788646;442.95406658074506;442.25565702815885;442.01929296923083;440.3890991591379;442.954024115671
2024-02-01;442.92495812334886;443.2557412102351;442.3676229103766;442.795633709498;443.14910584403856;442.3319572826038;442.36761011192675
2024-03-01;444.25325690252953;444.389684112354;443.9970143912666;443.96981774943015;444.2789187188463;443.1568059494805;443.99698803220343
2024-04-01;445.85862861266725;445.5233167065636;445.6286127366833;445.4844390941898;445.408731593654;442.49985108574646;445.628583954771
2024-05-01;446.5227307802717;446.6570209314314;446.2863098731134;446.4149608850551;446.53854446846174;443.6306670348225;446.2862872306029
2024-06-01;447.8067479534287;447.7907086212673;447.6523373222771;447.5532873567383;447.66835734326946;445.87923032523145;447.65230924950276
2024-07-01;448.7439539395519;448.9244001280063;448.622325469627;448.6151486258956;448.7981702180772;445.94798139114425;448.6222988234739
2024-08-01;449.8629807684004;450.0580907536615;449.7779151198959;449.8140674856216;449.9279830928849;447.9607936457597;449.7778900061863
2024-09-01;451.2338632540629;451.1917815827037;451.14541587815785;451.11631486318686;451.05779596769264;450.6343799025243;451.145388212744
